State,Population,EC Votes
Alabama,4779736,9
Alaska,710231,3
Arizona,6392017,11
Arkansas,2915918,6
California,37253956,55
Colorado,5029196,9
Connecticut,3574097,7
Delaware,897934,3
D.C,601723,3
Florida,18801310,29
Georgia,9687653,16
Hawaii,1360301,4
Idaho,1567582,4
Illinois,12830632,20
Indiana,6483802,11
Iowa,3046355,6
Kansas,2853118,6
Kentucky,4339367,8
Louisiana,4533372,8
Maine,1328361,4
Maryland,5773552,10
Massachusetts,6547629,11
Michigan,9883640,16
Minnesota,5303925,10
Mississippi,2967297,6
Missouri,5988927,10
Montana,989415,3
Nevada,1826341,5
Nebraska,2700551,6
New Hampshire,1316470,4
New Jersey,8791894,14
New Mexico,2059179,5
New York,19378102,29
North Carolina,9535483,15
North Dakota,672591,3
Ohio,11536504,18
Oklahoma,3751351,7
Oregon,3831074,7
Pennsylvania,12702379,20
Rhode Island,1052567,4
South Carolina,4625364,9
South Dakota,814180,3
Tennessee,6346105,11
Texas,25145561,38
Utah,2763885,6
Vermont,625741,3
Virginia,8001024,13
Washington,6724540,12
West Virginia,1852994,5
Wisconsin,5686986,10
Wyoming,563626,3
